top - 12:34:27 up  5:13,  1 user,  load average: 1,97, 1,50, 1,13
Tasks: 211 total,   1 running, 210 sleeping,   0 stopped,   0 zombie
%Cpu(s): 20,0 us, 40,0 sy,  0,0 ni, 40,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MiB Mem :   7794,7 total,    854,9 free,   4953,8 used,   2349,0 buff/cache     
MiB Swap:    976,0 total,    976,0 free,      0,0 used.   2840,9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     68 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mld
     70 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ipv6_ad+
     75 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kstrp
     80 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 zswap-s+
     81 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    160 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ata_sff
    165 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    166 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    167 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    168 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    169 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    170 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    171 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    172 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    173 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    174 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    180 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-c+
    181 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-c+
    182 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-c+
    183 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-c+
    214 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 md
    224 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 raid5wq
    279 root      20   0       0      0      0 S   0,0   0,0   0:02.62 jbd2/sd+
    280 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ext4-rs+
    339 root      20   0   65888  34644  33332 S   0,0   0,4   0:01.06 systemd+
    366 root      20   0   27472   7576   4672 S   0,0   0,1   0:01.04 systemd+
    473 root      20   0       0      0      0 S   0,0   0,0   0:00.09 ips-adj+
    474 root      20   0       0      0      0 S   0,0   0,0   0:01.61 ips-mon+
    489 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 watchdo+
    511 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/27-+
    548 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cfg80211
    632 root      20   0    8260   6196   1628 S   0,0   0,1   0:00.69 haveged
    633 systemd+  20   0   90064   6928   6008 S   0,0   0,1   0:00.18 systemd+
    634 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rpciod
    635 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 xprtiod
    641 root      20   0    6612   2748   2496 S   0,0   0,0   0:00.05 cron
    642 message+  20   0   10548   5868   4280 S   0,0   0,1   0:01.72 dbus-da+
    645 polkitd   20   0  313560  11064   7924 S   0,0   0,1   0:00.51 polkitd
    646 root      20   0   11696   6176   4680 S   0,0   0,1   0:00.09 smartd
    648 root      20   0   50012   7992   6920 S   0,0   0,1   0:00.22 systemd+
    650 root      20   0   41764   4564   4128 S   0,0   0,1   0:00.00 helper
    755 root      20   0  333524  20552  17540 S   0,0   0,3   0:02.07 Network+
    766 root      20   0  317252  11916  10192 S   0,0   0,1   0:00.16 ModemMa+
    777 root      20   0  382568   7380   6504 S   0,0   0,1   0:00.04 lightdm
    779 root      20   0 1426668  52848  32024 S   0,0   0,7   0:06.02 contain+
    797 root      20   0    5876   1008    916 S   0,0   0,0   0:00.00 agetty
    843 root      20   0   17120  10904   9508 S   0,0   0,1   0:00.20 wpa_sup+
    957 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 iprt-VB+
    958 root      20   0       0      0      0 S   0,0   0,0   0:00.00 iprt-VB+
    974 root      20   0 1387616  86988  53476 S   0,0   1,1   0:03.97 dockerd
   1026 rtkit     21   1   22696   1556   1312 S   0,0   0,0   0:00.33 rtkit-d+
   1341 root      20   0  236224  10240   7292 S   0,0   0,1   0:00.10 lightdm
   1347 kadavrul  20   0   19272  11048   8912 S   0,0   0,1   0:00.29 systemd
   1348 kadavrul  20   0  169340   3648      0 S   0,0   0,0   0:00.00 (sd-pam)
   1364 kadavrul   9 -11  483772  33020  25060 S   0,0   0,4   0:04.33 wireplu+
   1367 kadavrul  20   0  313824  11912   8944 S   0,0   0,1   0:00.10 gnome-k+
   1398 kadavrul  20   0  342056  30332  18664 S   0,0   0,4   0:01.80 xfce4-s+
   1404 kadavrul  20   0  310888   9936   5340 S   0,0   0,1   0:00.00 xdg-per+
   1452 kadavrul  20   0    7908    832      0 S   0,0   0,0   0:00.06 ssh-age+
   1462 kadavrul  20   0  384864   9656   6976 S   0,0   0,1   0:00.01 at-spi-+
   1469 kadavrul  20   0    9380   5100   4312 S   0,0   0,1   0:00.21 dbus-da+
   1481 kadavrul  20   0  238172  10180   7320 S   0,0   0,1   0:00.47 at-spi2+
   1492 kadavrul  20   0   81260   5648   3324 S   0,0   0,1   0:00.00 gpg-age+
   1498 kadavrul  20   0  311564   9920   7052 S   0,0   0,1   0:00.04 gvfsd
   1504 kadavrul  20   0  454164  10320   5648 S   0,0   0,1   0:00.01 gvfsd-f+
   1521 kadavrul  20   0  309252  34112  24192 S   0,0   0,4   0:01.14 xfsetti+
   1525 root      20   0  307672   8884   6144 S   0,0   0,1   0:00.09 upowerd
   1533 kadavrul  20   0  578740  57000  40872 S   0,0   0,7   0:17.02 xfce4-p+
   1544 kadavrul  20   0  695588  65896  41388 S   0,0   0,8   0:02.76 xfdeskt+
   1553 kadavrul  20   0  546568  57160  39476 S   0,0   0,7   0:01.76 panel-1+
   1557 kadavrul  20   0  261752  20988  16548 S   0,0   0,3   0:00.36 xfce4-p+
   1563 kadavrul  20   0  628848  53604  41900 S   0,0   0,7   0:02.96 nm-appl+
   1565 kadavrul  20   0  335572  18196  16064 S   0,0   0,2   0:00.14 xfce4-n+
   1567 kadavrul  20   0  383132  12488   7468 S   0,0   0,2   0:00.11 xiccd
   1577 kadavrul  20   0  307716   9416   4908 S   0,0   0,1   0:00.01 agent
   1586 kadavrul  20   0  449684  55736  32480 S   0,0   0,7   0:01.11 blueman+
   1610 colord    20   0  316256  15432   9920 S   0,0   0,2   0:00.34 colord
   1629 kadavrul  20   0   14640   4104   1668 S   0,0   0,1   0:00.38 xcape
   1642 kadavrul  20   0  260772  18332  14340 S   0,0   0,2   0:00.10 polkit-+
   1643 kadavrul  20   0  230116   5600   5068 S   0,0   0,1   0:00.02 dconf-s+
   1650 kadavrul  20   0  339984  26104  17336 S   0,0   0,3   0:00.23 light-l+
   1656 kadavrul  20   0  470672  49628  37464 S   0,0   0,6   0:00.89 panel-2+
   1758 kadavrul  20   0  545808  51024  37620 S   0,0   0,6   0:01.86 panel-1+
   1760 kadavrul  20   0  562864  54144  41248 S   0,0   0,7   0:31.39 panel-1+
   1761 kadavrul  20   0  470024  48084  34500 S   0,0   0,6   0:00.72 panel-1+
   1762 kadavrul  20   0  470952  50872  36324 S   0,0   0,6   0:00.64 panel-1+
   1778 kadavrul  20   0  469900  48196  34868 S   0,0   0,6   0:00.72 panel-2+
   1779 kadavrul  20   0  470532  52824  36336 S   0,0   0,7   0:04.24 panel-2+
   1780 kadavrul  20   0  505844  60684  40980 S   0,0   0,8   0:02.55 panel-2+
   1911 kadavrul  20   0  425680  13616  10000 S   0,0   0,2   0:00.12 gvfs-ud+
   1923 root      20   0  468576  15736  10684 S   0,0   0,2   0:02.68 udisksd
   2007 kadavrul  20   0  386460  10696   5728 S   0,0   0,1   0:00.58 gvfs-af+
   2015 kadavrul  20   0  308312   7896   5296 S   0,0   0,1   0:00.03 gvfs-gp+
   2029 kadavrul  20   0  307360   7480   5000 S   0,0   0,1   0:00.02 gvfs-mt+
   2042 kadavrul  20   0  307448   8524   5952 S   0,0   0,1   0:00.02 gvfs-go+
   2055 kadavrul  20   0  385736  10304   7484 S   0,0   0,1   0:00.05 gvfsd-t+
   2063 kadavrul  20   0  234004   8472   5772 S   0,0   0,1   0:00.02 gvfsd-m+
   2085 kadavrul  20   0   48552   7428   6724 S   0,0   0,1   0:00.01 obexd
   2500 kadavrul  20   0  474296  18072  12216 S   0,0   0,2   0:00.18 xdg-des+
   2505 kadavrul  20   0  609284  11664   6940 S   0,0   0,1   0:00.06 xdg-doc+
   2519 root      20   0    2480    972    880 S   0,0   0,0   0:00.00 fusermo+
   2525 kadavrul  20   0  414112  25788  20948 S   0,0   0,3   0:00.24 xdg-des+
   4283 kadavrul  20   0  220776  43804  33408 S   0,0   0,5  16:43.69 Socket +
   4376 kadavrul  20   0 2475624 121440  90308 S   0,0   1,5   0:05.88 Privile+
   4419 root      20   0   39268   7136   2656 S   0,0   0,1   0:00.02 pcscd
   4492 kadavrul  20   0 2704056 205808  87212 S   0,0   2,6   1:20.06 WebExte+
   5322 kadavrul  20   0  443380  53828  39992 S   0,0   0,7  73:27.79 RDD Pro+
  29061 root       0 -20       0      0      0 I   0,0   0,0   0:08.00 kworker+
  31128 kadavrul  20   0  108576  11756   6536 S   0,0   0,1   0:00.49 sd_espe+
  31157 kadavrul  20   0  166560   5944   5248 S   0,0   0,1   0:01.77 sd_dummy
  31168 kadavrul  20   0  115732   8540   2680 S   0,0   0,1   0:00.81 speech-+
  88959 kadavrul  20   0  103,2g 122328  75904 S   0,0   1,5   0:26.07 chat-gpt
  89024 kadavrul  20   0   86,6g 108040  44380 S   0,0   1,4   0:01.34 WebKitN+
 103426 root      20   0       0      0      0 I   0,0   0,0   0:00.75 kworker+
 127094 kadavrul  20   0  161220   5884   4924 S   0,0   0,1   0:00.02 oosplash
 127153 kadavrul  20   0 1136284 299468 132480 S   0,0   3,8   0:21.60 soffice+
 128559 kadavrul  20   0  630040  64528  41620 S   0,0   0,8   1:20.40 mousepad
 130705 kadavrul  20   0   10576   6768   4436 S   0,0   0,1   0:00.41 zsh
 133797 root      20   0       0      0      0 I   0,0   0,0   0:03.24 kworker+
 141407 root       0 -20       0      0      0 I   0,0   0,0   0:00.72 kworker+
 142356 kadavrul  20   0 2400320  73016  61240 S   0,0   0,9   0:00.26 Web Con+
 142388 root       0 -20       0      0      0 I   0,0   0,0   0:01.49 kworker+
 142408 kadavrul  20   0 2400320  72804  61060 S   0,0   0,9   0:00.25 Web Con+
 142761 kadavrul  20   0 2400972  74068  62320 S   0,0   0,9   0:00.23 Web Con+
 144743 kadavrul  20   0  603588 117676  92024 S   0,0   1,5   0:03.73 qtermin+
 144746 kadavrul  20   0   13928   7784   5100 S   0,0   0,1   0:02.03 zsh
 146552 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
 146664 root      20   0       0      0      0 I   0,0   0,0   0:00.32 kworker+
 146927 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
 148731 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
 149188 root      20   0       0      0      0 I   0,0   0,0   0:00.28 kworker+
 154978 root       0 -20       0      0      0 I   0,0   0,0   0:00.35 kworker+
 157152 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
 157820 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
 159047 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
 159366 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
 159577 root      20   0       0      0      0 I   0,0   0,0   0:00.08 kworker+
 160034 kadavrul  20   0  307156   8368   5792 S   0,0   0,1   0:00.06 xfconfd
 160035 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
 160550 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
 160640 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
 160710 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
 160919 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
 161035 root       0 -20       0      0      0 I   0,0   0,0   0:00.07 kworker+
 162188 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+

top - 12:35:18 up  5:14,  1 user,  load average: 1,54, 1,45, 1,14
Tasks: 209 total,   1 running, 208 sleeping,   0 stopped,   0 zombie
%Cpu(s): 14,0 us,  7,2 sy,  0,0 ni, 77,6 id,  1,2 wa,  0,0 hi,  0,1 si,  0,0 st 
MiB Mem :   7794,7 total,   1038,3 free,   4770,0 used,   2349,5 buff/cache     
MiB Swap:    976,0 total,    976,0 free,      0,0 used.   3024,7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2380 kadavrul  20   0 3244104   1,1g 186580 S  18,2  14,6  10:45.60 telegra+
    796 root      20   0  567496 128936  74668 S  17,4   1,6  21:33.98 Xorg
  93979 kadavrul  20   0 3051324 486020 118992 S  11,6   6,1   9:07.44 Isolate+
   4134 kadavrul  20   0 3659444 568724 217436 S  11,2   7,1  62:47.78 firefox+
   1365 kadavrul   9 -11  105656  76596   8764 S   5,0   1,0   5:04.23 pipewir+
   1494 kadavrul  20   0  807612 123956  86120 S   4,6   1,6   7:00.64 xfwm4
   1363 kadavrul   9 -11   93480  20964  10876 S   2,2   0,3   2:48.86 pipewire
 131495 kadavrul  20   0  824480  56012  29824 S   2,0   0,7   1:09.75 python
  89146 kadavrul  20   0  103,4g 681860 156416 S   1,8   8,5  23:51.43 WebKitW+
   5538 kadavrul  20   0  348384  54128  36568 S   1,4   0,7   4:28.74 Utility+
  88959 kadavrul  20   0  103,2g 122328  75904 S   0,6   1,5   0:26.10 chat-gpt
   1538 kadavrul  20   0  638436  63544  43972 S   0,4   0,8   0:06.81 Thunar
   1755 kadavrul  20   0  422088  36676  25812 S   0,4   0,5   1:28.06 panel-1+
  89147 kadavrul  20   0   86,8g 299232 151468 S   0,4   3,7   0:40.70 WebKitW+
   1026 rtkit     21   1   22696   1556   1312 S   0,2   0,0   0:00.34 rtkit-d+
   1759 kadavrul  20   0  428560  34388  25368 S   0,2   0,4   0:56.22 panel-1+
 130693 kadavrul  20   0  603612 117632  91876 S   0,2   1,5   0:08.78 qtermin+
 133797 root      20   0       0      0      0 I   0,2   0,0   0:03.25 kworker+
 142271 kadavrul  20   0 2583268 191144  98996 S   0,2   2,4   0:13.96 Isolate+
 142388 root       0 -20       0      0      0 I   0,2   0,0   0:01.50 kworker+
 154978 root       0 -20       0      0      0 I   0,2   0,0   0:00.36 kworker+
 162596 kadavrul  20   0   11592   5296   3240 R   0,2   0,1   0:00.14 top
      1 root      20   0  168232  12712   9172 S   0,0   0,2   0:02.34 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.02 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 slub_fl+
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 netns
     10 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_perc+
     11 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     13 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     14 root      20   0       0      0      0 S   0,0   0,0   0:00.61 ksoftir+
     15 root      20   0       0      0      0 I   0,0   0,0   0:07.74 rcu_pre+
     16 root      rt   0       0      0      0 S   0,0   0,0   0:00.07 migrati+
     18 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     19 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     20 root      rt   0       0      0      0 S   0,0   0,0   0:00.31 migrati+
     21 root      20   0       0      0      0 S   0,0   0,0   0:00.58 ksoftir+
     24 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
     25 root      rt   0       0      0      0 S   0,0   0,0   0:00.32 migrati+
     26 root      20   0       0      0      0 S   0,0   0,0   0:03.21 ksoftir+
     29 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/3
     30 root      rt   0       0      0      0 S   0,0   0,0   0:00.31 migrati+
     31 root      20   0       0      0      0 S   0,0   0,0   0:00.49 ksoftir+
     38 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kdevtmp+
     39 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 inet_fr+
     40 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kauditd
     42 root      20   0       0      0      0 S   0,0   0,0   0:00.02 khungta+
     43 root      20   0       0      0      0 S   0,0   0,0   0:00.00 oom_rea+
     44 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 writeba+
     45 root      20   0       0      0      0 S   0,0   0,0   0:00.66 kcompac+
     46 root      25   5       0      0      0 S   0,0   0,0   0:00.00 ksmd
     47 root      39  19       0      0      0 S   0,0   0,0   0:00.88 khugepa+
     48 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kintegr+
     49 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kblockd
     50 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 blkcg_p+
     52 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 tpm_dev+
     53 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 edac-po+
     54 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 devfreq+
     56 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kswapd0
     64 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kthrotld
     66 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 acpi_th+
     67 root      20   0       0      0      0 S   0,0   0,0   0:00.00 xenbus_+
     68 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mld
     70 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ipv6_ad+
     75 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kstrp
     80 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 zswap-s+
     81 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    160 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ata_sff
    165 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    166 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    167 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    168 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    169 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    170 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    171 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    172 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    173 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    174 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    180 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-c+
    181 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-c+
    182 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-c+
    183 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-c+
    214 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 md
    224 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 raid5wq
    279 root      20   0       0      0      0 S   0,0   0,0   0:02.62 jbd2/sd+
    280 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ext4-rs+
    339 root      20   0   65888  34644  33332 S   0,0   0,4   0:01.06 systemd+
    366 root      20   0   27472   7576   4672 S   0,0   0,1   0:01.04 systemd+
    473 root      20   0       0      0      0 S   0,0   0,0   0:00.09 ips-adj+
    474 root      20   0       0      0      0 S   0,0   0,0   0:01.61 ips-mon+
    489 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 watchdo+
    511 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/27-+
    548 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cfg80211
    632 root      20   0    8260   6196   1628 S   0,0   0,1   0:00.69 haveged
    633 systemd+  20   0   90064   6928   6008 S   0,0   0,1   0:00.18 systemd+
    634 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rpciod
    635 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 xprtiod
    641 root      20   0    6612   2748   2496 S   0,0   0,0   0:00.05 cron
    642 message+  20   0   10548   5868   4280 S   0,0   0,1   0:01.72 dbus-da+
    645 polkitd   20   0  313560  11064   7924 S   0,0   0,1   0:00.51 polkitd
    646 root      20   0   11696   6176   4680 S   0,0   0,1   0:00.09 smartd
    648 root      20   0   50012   7992   6920 S   0,0   0,1   0:00.22 systemd+
    650 root      20   0   41764   4564   4128 S   0,0   0,1   0:00.00 helper
    755 root      20   0  333524  20552  17540 S   0,0   0,3   0:02.07 Network+
    766 root      20   0  317252  11916  10192 S   0,0   0,1   0:00.16 ModemMa+
    777 root      20   0  382568   7380   6504 S   0,0   0,1   0:00.04 lightdm
    779 root      20   0 1426668  52848  32024 S   0,0   0,7   0:06.02 contain+
    797 root      20   0    5876   1008    916 S   0,0   0,0   0:00.00 agetty
    843 root      20   0   17120  10904   9508 S   0,0   0,1   0:00.20 wpa_sup+
    957 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 iprt-VB+
    958 root      20   0       0      0      0 S   0,0   0,0   0:00.00 iprt-VB+
    974 root      20   0 1387616  86988  53476 S   0,0   1,1   0:03.97 dockerd
   1341 root      20   0  236224  10240   7292 S   0,0   0,1   0:00.10 lightdm
   1347 kadavrul  20   0   19272  11048   8912 S   0,0   0,1   0:00.29 systemd
   1348 kadavrul  20   0  169340   3648      0 S   0,0   0,0   0:00.00 (sd-pam)
   1364 kadavrul   9 -11  483772  33020  25060 S   0,0   0,4   0:04.33 wireplu+
   1367 kadavrul  20   0  313824  11912   8944 S   0,0   0,1   0:00.10 gnome-k+
   1368 kadavrul  20   0    9976   5836   4364 S   0,0   0,1   0:10.77 dbus-da+
   1398 kadavrul  20   0  342056  30332  18664 S   0,0   0,4   0:01.80 xfce4-s+
   1404 kadavrul  20   0  310888   9936   5340 S   0,0   0,1   0:00.00 xdg-per+
   1452 kadavrul  20   0    7908    832      0 S   0,0   0,0   0:00.06 ssh-age+
   1462 kadavrul  20   0  384864   9656   6976 S   0,0   0,1   0:00.01 at-spi-+
   1469 kadavrul  20   0    9380   5100   4312 S   0,0   0,1   0:00.21 dbus-da+
   1481 kadavrul  20   0  238172  10180   7320 S   0,0   0,1   0:00.47 at-spi2+
   1492 kadavrul  20   0   81260   5648   3324 S   0,0   0,1   0:00.00 gpg-age+
   1498 kadavrul  20   0  311564   9920   7052 S   0,0   0,1   0:00.04 gvfsd
   1504 kadavrul  20   0  454164  10320   5648 S   0,0   0,1   0:00.01 gvfsd-f+
   1521 kadavrul  20   0  309252  34112  24192 S   0,0   0,4   0:01.14 xfsetti+
   1525 root      20   0  307672   8884   6144 S   0,0   0,1   0:00.09 upowerd
   1533 kadavrul  20   0  578740  57000  40872 S   0,0   0,7   0:17.02 xfce4-p+
   1544 kadavrul  20   0  695588  65896  41388 S   0,0   0,8   0:02.76 xfdeskt+
   1553 kadavrul  20   0  546568  57160  39476 S   0,0   0,7   0:01.76 panel-1+
   1557 kadavrul  20   0  261752  20988  16548 S   0,0   0,3   0:00.36 xfce4-p+
   1563 kadavrul  20   0  628848  53604  41900 S   0,0   0,7   0:02.96 nm-appl+
   1565 kadavrul  20   0  335572  18196  16064 S   0,0   0,2   0:00.14 xfce4-n+
   1567 kadavrul  20   0  383132  12488   7468 S   0,0   0,2   0:00.11 xiccd
   1577 kadavrul  20   0  307716   9416   4908 S   0,0   0,1   0:00.01 agent
   1586 kadavrul  20   0  449684  55736  32480 S   0,0   0,7   0:01.11 blueman+
   1610 colord    20   0  316256  15432   9920 S   0,0   0,2   0:00.34 colord
   1629 kadavrul  20   0   14640   4104   1668 S   0,0   0,1   0:00.38 xcape
   1642 kadavrul  20   0  260772  18332  14340 S   0,0   0,2   0:00.10 polkit-+
   1643 kadavrul  20   0  230116   5600   5068 S   0,0   0,1   0:00.02 dconf-s+
   1650 kadavrul  20   0  339984  26104  17336 S   0,0   0,3   0:00.23 light-l+
   1656 kadavrul  20   0  470672  49628  37464 S   0,0   0,6   0:00.89 panel-2+
   1758 kadavrul  20   0  545808  51024  37620 S   0,0   0,6   0:01.86 panel-1+
   1760 kadavrul  20   0  562864  54144  41248 S   0,0   0,7   0:31.39 panel-1+
   1761 kadavrul  20   0  470024  48084  34500 S   0,0   0,6   0:00.72 panel-1+
   1762 kadavrul  20   0  470952  50872  36324 S   0,0   0,6   0:00.64 panel-1+
   1778 kadavrul  20   0  469900  48196  34868 S   0,0   0,6   0:00.72 panel-2+
   1779 kadavrul  20   0  470532  52824  36336 S   0,0   0,7   0:04.24 panel-2+
   1780 kadavrul  20   0  505844  60684  40980 S   0,0   0,8   0:02.55 panel-2+
   1911 kadavrul  20   0  425680  13616  10000 S   0,0   0,2   0:00.12 gvfs-ud+
   1923 root      20   0  468576  15736  10684 S   0,0   0,2   0:02.68 udisksd
   2007 kadavrul  20   0  386460  10696   5728 S   0,0   0,1   0:00.58 gvfs-af+
   2015 kadavrul  20   0  308312   7896   5296 S   0,0   0,1   0:00.03 gvfs-gp+
   2029 kadavrul  20   0  307360   7480   5000 S   0,0   0,1   0:00.02 gvfs-mt+
   2042 kadavrul  20   0  307448   8524   5952 S   0,0   0,1   0:00.02 gvfs-go+
   2055 kadavrul  20   0  385736  10304   7484 S   0,0   0,1   0:00.05 gvfsd-t+
   2063 kadavrul  20   0  234004   8472   5772 S   0,0   0,1   0:00.02 gvfsd-m+
   2085 kadavrul  20   0   48552   7428   6724 S   0,0   0,1   0:00.01 obexd
   2500 kadavrul  20   0  474296  18072  12216 S   0,0   0,2   0:00.18 xdg-des+
   2505 kadavrul  20   0  609284  11664   6940 S   0,0   0,1   0:00.06 xdg-doc+
   2519 root      20   0    2480    972    880 S   0,0   0,0   0:00.00 fusermo+
   2525 kadavrul  20   0  414112  25788  20948 S   0,0   0,3   0:00.24 xdg-des+
   4283 kadavrul  20   0  220776  43804  33408 S   0,0   0,5  16:43.69 Socket +
   4376 kadavrul  20   0 2475624 121440  90308 S   0,0   1,5   0:05.88 Privile+
   4419 root      20   0   39268   7136   2656 S   0,0   0,1   0:00.02 pcscd
   4492 kadavrul  20   0 2704056 205808  87212 S   0,0   2,6   1:20.06 WebExte+
   5322 kadavrul  20   0  443380  53828  39992 S   0,0   0,7  73:27.79 RDD Pro+
  29061 root       0 -20       0      0      0 I   0,0   0,0   0:08.00 kworker+
  31128 kadavrul  20   0  108576  11756   6536 S   0,0   0,1   0:00.49 sd_espe+
  31157 kadavrul  20   0  166560   5944   5248 S   0,0   0,1   0:01.77 sd_dummy
  31168 kadavrul  20   0  115732   8540   2680 S   0,0   0,1   0:00.81 speech-+
  89024 kadavrul  20   0   86,6g 108040  44380 S   0,0   1,4   0:01.34 WebKitN+
  89046 kadavrul  20   0  102,5g  91872  43416 S   0,0   1,2   0:09.70 WebKitN+
 103426 root      20   0       0      0      0 I   0,0   0,0   0:00.75 kworker+
